eventDate,year,month,decimalLatitude,decimalLongitude,scientificName,individualCount,temperature,season,latitude_zone
1989-10-03,1989,10,41.27062032235417,-40.99120997139625,Pseudocalanus elongatus,1.0,9.820230225589539,Fall,Temperate Low
2001-03-15,2001,3,47.67406991674875,-51.55112429578996,Centropages typicus,3.0,16.83485137323257,Winter,Temperate Low
1976-06-22,1976,6,42.80520978646324,-55.53751293463841,Candacia armata,17.0,16.281237845722558,Spring,Temperate Low
1973-10-24,1973,10,51.297683391883695,9.945713125317496,Oithona similis,0.0,6.7914102816685675,Fall,Temperate High
2007-06-17,2007,6,67.2707091601439,-72.62353079446648,Oithona similis,-6.0,8.938720733532312,Spring,Subpolar
1984-02-27,1984,2,66.22253804559394,-15.966090436018234,Centropages typicus,,11.338182655110995,Winter,Subpolar
1974-02-04,1974,2,51.135179023498736,2.547807203165405,Pseudocalanus elongatus,43.0,13.830684953681962,Winter,Temperate High
2002-10-10,2002,10,46.039256932427385,-75.62939228829146,Centropages typicus,57.0,6.809505278879518,Fall,Temperate Low
1960-01-18,1960,1,67.05716346186048,-73.28941864715596,Pseudocalanus elongatus,-113.0,5.1322202578179095,Winter,Subpolar
1972-10-31,1972,10,41.64155385471699,-0.7202851284759504,Centropages typicus,3.0,10.817182112694075,Fall,Temperate Low
1964-08-22,1964,8,52.622590194713624,-44.852361667166356,Candacia armata,115.0,8.193730507939057,Summer,Temperate High
1990-05-30,1990,5,36.32003020829954,-59.25871473231106,Centropages typicus,-57.0,20.54133493698959,Spring,Subtropical
2011-05-08,2011,5,61.36581845467753,-31.46056533275889,Centropages typicus,-33.0,13.300224316082716,Spring,Subpolar
1967-05-26,1967,5,37.267781255344346,-28.849214514777252,Centropages typicus,-39.0,20.594183966883815,Spring,Subtropical
2007-02-17,2007,2,38.14696389751951,-64.61989607024746,Pseudocalanus elongatus,-2.0,17.770769665050192,Winter,Subtropical
1964-12-14,1964,12,39.084838320701536,-6.849368733078734,Oithona similis,-8.0,12.984629125098953,Fall,Subtropical
2007-10-19,2007,10,68.78204862778,-31.60598276403678,Centropages typicus,-72.0,2.02793640239214,Fall,Subpolar
1977-12-11,1977,12,51.619268649864814,-14.169948701784946,Oithona similis,5.0,10.149050526223995,Fall,Temperate High
1988-03-31,1988,3,51.68258327415433,-7.33877114253292,Pseudocalanus elongatus,6.0,17.235814848931533,Winter,Temperate High
1997-05-09,1997,5,32.341651067907534,-8.397221887840686,Centropages typicus,-15.0,20.91498769542818,Spring,Subtropical
1968-01-26,1968,1,42.28216393137218,-2.266081364189489,Metridia lucens,3.0,14.715904585168479,Winter,Temperate Low
2002-12-02,2002,12,32.32898103215819,-52.78264200422603,Centropages typicus,-26.0,15.193577468244008,Fall,Subtropical
1974-03-30,1974,3,50.08822789030553,-17.8553888609541,Candacia armata,8.0,16.829295449605137,Winter,Temperate High
1993-11-23,1993,11,59.48329429822656,-36.373963249318926,Pseudocalanus elongatus,1.0,6.286698482841037,Fall,Temperate High
1991-07-27,1991,7,48.8690039248872,-3.6494727315462967,Centropages typicus,53.0,12.848584896211424,Summer,Temperate Low
2002-05-29,2002,5,46.61751962072326,-47.52471439725235,Centropages typicus,15.0,17.773321572041855,Spring,Temperate Low
1979-03-24,1979,3,68.14691065871557,-68.08047763905515,Centropages typicus,-81.0,11.90584875610028,Winter,Subpolar
1969-02-05,1969,2,61.99660794075147,-50.80385862167314,Centropages typicus,-5.0,11.183407534412117,Winter,Subpolar
1977-11-20,1977,11,54.65185944271472,-34.84522480547109,Oithona similis,0.0,7.305830249447139,Fall,Temperate High
2010-08-16,2010,8,36.839157407616234,17.04996849039476,Centropages typicus,-56.0,13.417471441415163,Summer,Subtropical
1999-01-07,1999,1,49.518282608603315,-44.49858283812959,Centropages typicus,10.0,13.741453711880633,Winter,Temperate Low
2006-04-07,2006,4,59.69895299212526,-18.697832314933834,Pseudocalanus elongatus,1.0,15.118496309740483,Spring,Temperate High
1992-08-15,1992,8,58.16313968039546,-70.13750533774551,Pseudocalanus elongatus,26.0,7.446620699987864,Summer,Temperate High
2000-09-10,2000,9,53.03376465686334,-37.82566733153437,Pseudocalanus elongatus,13.0,8.294283501986296,Summer,Temperate High
2007-06-13,2007,6,65.27127850479346,-56.28922261206864,Centropages typicus,-252.0,10.506233755683212,Spring,Subpolar
1964-03-13,1964,3,51.882340391835136,-41.59721229273557,Oithona similis,56.0,16.175623411488964,Winter,Temperate High
1981-01-14,1981,1,67.79641061560218,-39.473106100923744,Metridia lucens,-8.0,7.042708062531213,Winter,Subpolar
1971-01-20,1971,1,60.52740757289776,-72.58306895242985,Candacia armata,,9.04437631573621,Winter,Subpolar
1972-02-16,1972,2,68.65129109205411,-59.46571629408825,Oithona similis,-17.0,10.035562166895845,Winter,Subpolar
1981-01-09,1981,1,35.30612755528378,-57.39185995370175,Candacia armata,-27.0,17.60530896025255,Winter,Subtropical
1969-03-06,1969,3,46.586283197191506,-43.604285185098334,Candacia armata,22.0,17.522076175462264,Winter,Temperate Low
1989-12-27,1989,12,56.75948348640928,1.8659046646800732,Centropages typicus,5.0,5.262207934729208,Fall,Temperate High
2013-09-18,2013,9,66.0959120437497,-4.912997314459318,Temora longicornis,-365.0,3.9980908372260906,Summer,Subpolar
1973-07-31,1973,7,46.58630770784333,-3.7863755210074146,Centropages typicus,48.0,11.813838734307428,Summer,Temperate Low
1994-08-24,1994,8,30.683017642748872,-33.894234749261074,Centropages typicus,-61.0,14.607369971044163,Summer,Subtropical
2015-12-31,2015,12,46.451439803427995,-31.456121516969546,Candacia armata,14.0,13.858224338261794,Fall,Temperate Low
1972-08-08,1972,8,49.53836829454603,-35.44095643554533,Oithona similis,28.0,10.326773139011133,Summer,Temperate Low
1962-04-29,1962,4,33.14055866348727,-62.31867623417316,Temora longicornis,-30.0,22.005039886265873,Spring,Subtropical
1971-09-02,1971,9,54.24976685013403,3.4553878962579887,Pseudocalanus elongatus,7.0,8.00661586161797,Summer,Temperate High
2004-11-18,2004,11,30.193451209655187,-34.01524253850517,Candacia armata,-17.0,13.920273907045592,Fall,Subtropical
1964-06-20,1964,6,68.56360166995103,-28.53104047643634,Pseudocalanus elongatus,-92.0,9.485799203180338,Spring,Subpolar
2005-02-21,2005,2,40.62106201307655,19.487704605651032,Oithona similis,4.0,14.869818549859323,Winter,Temperate Low
1982-03-15,1982,3,33.60026260167958,-46.68417515038555,Centropages typicus,-19.0,22.239769014624827,Winter,Subtropical
1976-02-20,1976,2,31.732163174613515,-40.908387726419065,Centropages typicus,-33.0,17.908316171001108,Winter,Subtropical
2006-01-16,2006,1,40.56525256348188,-59.60374105641223,Centropages typicus,2.0,15.743068565393395,Winter,Temperate Low
1977-08-28,1977,8,30.374180147003244,-41.889162065011384,Pseudocalanus elongatus,-101.0,14.862181082651881,Summer,Subtropical
1969-06-12,1969,6,37.41378327352313,-17.078938948601994,Centropages typicus,-16.0,18.0431984258748,Spring,Subtropical
1992-09-04,1992,9,57.56339437207433,-33.698752316972055,Centropages typicus,13.0,5.0356345897704715,Summer,Temperate High
1968-08-28,1968,8,42.03647555585127,-30.49823110845523,Pseudocalanus elongatus,10.0,12.302870912394631,Summer,Temperate Low
1972-07-26,1972,7,36.23481892038502,0.22902680589653812,Candacia armata,,15.241172913621865,Summer,Subtropical
1974-08-31,1974,8,38.69189164711936,6.544612726457785,Pseudocalanus elongatus,-19.0,12.551355344456784,Summer,Subtropical
1966-07-11,1966,7,32.852464202955865,8.703705397931515,Oithona similis,,16.972066710163098,Summer,Subtropical
2008-11-14,2008,11,55.17365915572819,-66.2661702846423,Candacia armata,5.0,7.109287222351427,Fall,Temperate High
2020-01-03,2020,1,37.34045031013725,-61.35448634855422,Pseudocalanus elongatus,-51.0,14.510229864792556,Winter,Subtropical
1964-11-27,1964,11,57.63798198006896,-66.5217827694012,Oithona similis,0.0,6.912144719424875,Fall,Temperate High
1971-09-29,1971,9,38.436633244791025,-70.03166229111028,Centropages typicus,-6.0,11.355016369038433,Summer,Subtropical
1993-12-18,1993,12,37.02036726884869,-35.0498351661304,Oithona similis,-8.0,12.547056343361005,Fall,Subtropical
1980-12-22,1980,12,67.50628493915218,-25.341343377778777,Pseudocalanus elongatus,-56.0,5.192606102953305,Fall,Subpolar
1995-07-06,1995,7,69.89752825509535,-4.00618387799976,Pseudocalanus elongatus,,6.146464863198879,Summer,Subpolar
1986-01-21,1986,1,32.04128948614962,-49.08848927459711,Candacia armata,-25.0,15.384555195146266,Winter,Subtropical
1991-06-11,1991,6,56.05893542584441,-35.290402405135474,Centropages typicus,93.0,13.02039727222432,Spring,Temperate High
1974-03-25,1974,3,39.75194338618707,-39.56185867052902,Oithona similis,-1.0,20.72830183257607,Winter,Subtropical
1980-08-21,1980,8,48.31212392845222,-12.956554870909926,Oithona similis,15.0,11.494600067290953,Summer,Temperate Low
1985-08-20,1985,8,52.824478432396944,-27.57714567667567,Candacia armata,35.0,8.619192391208504,Summer,Temperate High
1988-02-26,1988,2,43.54151351101234,-39.865275952859555,Pseudocalanus elongatus,4.0,17.240709745623178,Winter,Temperate Low
1992-03-13,1992,3,42.798665658999184,-30.87873171606354,Candacia armata,7.0,17.39054622476774,Winter,Temperate Low
1983-07-03,1983,7,42.95063880634563,-22.4039904376568,Candacia armata,3.0,13.610887034954555,Summer,Temperate Low
1968-05-13,1968,5,68.6017140757703,-75.76771872565723,Centropages typicus,-183.0,11.933432399074507,Spring,Subpolar
1960-12-12,1960,12,42.871912598854344,-52.75379812369279,Pseudocalanus elongatus,15.0,13.264127822887728,Fall,Temperate Low
2006-07-25,2006,7,34.81552036705843,-47.327084943191416,Pseudocalanus elongatus,-4.0,16.34862684281916,Summer,Subtropical
2010-10-23,2010,10,46.45006946794304,-12.405626276795545,Centropages typicus,22.0,6.670107874733854,Fall,Temperate Low
1992-07-28,1992,7,51.37709736761459,-57.36817027589633,Pseudocalanus elongatus,112.0,11.378889093872138,Summer,Temperate High
2003-07-10,2003,7,52.01260376967972,-55.840618141782926,Pseudocalanus elongatus,17.0,13.158312868890768,Summer,Temperate High
1966-10-26,1966,10,64.41420134529407,-1.2848967049016835,Centropages typicus,-69.0,2.1145765452713308,Fall,Subpolar
2008-07-01,2008,7,36.597675040513714,-53.46176654624432,Centropages typicus,-16.0,16.457523664534257,Summer,Subtropical
1991-06-19,1991,6,53.428525789347134,-7.531316074777607,Centropages typicus,13.0,13.86731610153265,Spring,Temperate High
2008-01-07,2008,1,32.61992328851547,-17.184481206834363,Pseudocalanus elongatus,-9.0,17.227550010557078,Winter,Subtropical
1966-09-27,1966,9,54.92188306294658,-56.39201768521213,Acartia clausi,8.0,5.6437965086537245,Summer,Temperate High
2016-04-05,2016,4,44.31598171390287,-54.23099569526984,Centropages typicus,12.0,17.186922091482597,Spring,Temperate Low
1967-03-17,1967,3,62.201969630232014,-77.07330980576756,Centropages typicus,-4.0,14.079407124198887,Winter,Subpolar
2010-01-01,2010,1,53.195461866126536,-55.39244951990328,Centropages typicus,26.0,9.554980984613488,Winter,Temperate High
2020-12-17,2020,12,53.90646724492607,3.423178802845456,Candacia armata,22.0,8.498107062351659,Fall,Temperate High
1993-09-13,1993,9,57.85704934481137,-10.932938315303801,Centropages typicus,10.0,5.006829286038412,Summer,Temperate High
2016-12-21,2016,12,63.847136531274124,14.477546513511442,Centropages typicus,-12.0,6.6734419998856165,Fall,Subpolar
1967-10-30,1967,10,39.39057404264858,-47.209708597939134,Pseudocalanus elongatus,-2.0,10.446697968156192,Fall,Subtropical
1969-09-09,1969,9,46.03309233416418,-2.6265830800286096,Centropages typicus,7.0,11.091647768741314,Summer,Temperate Low
1976-08-14,1976,8,48.64235695101472,-77.769006828211,Candacia armata,14.0,12.346040397769292,Summer,Temperate Low
1979-01-27,1979,1,30.60939207420776,-52.822770864027945,Oithona similis,-29.0,17.293673514499503,Winter,Subtropical
1970-07-01,1970,7,59.617690182689515,14.983253968484732,Pseudocalanus elongatus,22.0,7.310303124708759,Summer,Temperate High
1979-04-24,1979,4,62.48847802079774,-33.73188214191804,Candacia armata,-11.0,12.44622394200106,Spring,Subpolar
1976-06-26,1976,6,35.53437617537908,-35.55282882502345,Pseudocalanus elongatus,-3.0,18.70535423213916,Spring,Subtropical
2013-06-10,2013,6,50.57546833688295,5.13027108941354,Centropages typicus,19.0,14.602756021089256,Spring,Temperate High
2009-04-29,2009,4,42.71530796051669,3.5780776643369165,Metridia lucens,9.0,19.819965652306674,Spring,Temperate Low
1968-06-09,1968,6,63.78310367726394,-65.27426287723145,Pseudocalanus elongatus,-65.0,10.063903971478682,Spring,Subpolar
2020-06-03,2020,6,46.63229006821839,6.914816846841333,Centropages typicus,406.0,15.179304941958192,Spring,Temperate Low
2018-06-06,2018,6,68.46495073877045,3.785364627910738,Candacia armata,-36.0,8.746548523688391,Spring,Subpolar
1974-01-04,1974,1,31.135109482765067,-39.55660711400562,Pseudocalanus elongatus,-12.0,16.078346414793565,Winter,Subtropical
1977-08-22,1977,8,48.5738599962404,-74.9338549650882,Oithona similis,13.0,10.042255243513805,Summer,Temperate Low
1998-12-05,1998,12,64.85576644151433,-50.95618816863282,Centropages typicus,-54.0,5.681185410672638,Fall,Subpolar
1999-05-06,1999,5,42.92882612284775,-43.287212095842435,Acartia clausi,2.0,18.62551799308874,Spring,Temperate Low
1975-07-26,1975,7,36.344557357004476,6.313726106360619,Centropages typicus,-25.0,15.916655574481807,Summer,Subtropical
1988-01-05,1988,1,45.23242797645459,19.757012308510483,Temora longicornis,8.0,12.093295461462958,Winter,Temperate Low
1995-12-10,1995,12,36.05626322800735,-0.5596828905836588,Oithona similis,,13.267998466912701,Fall,Subtropical
1988-09-15,1988,9,69.9750668696567,-38.706711853013495,Centropages typicus,-721.0,-0.19958073478472538,Summer,Subpolar
1989-02-19,1989,2,51.42201188863959,-24.062480441282922,Centropages typicus,4.0,13.03838403335533,Winter,Temperate High
1992-04-03,1992,4,35.60458038799828,14.227028438434175,Centropages typicus,-11.0,19.48179266725605,Spring,Subtropical
1992-03-30,1992,3,36.37305472705802,-10.467250039517111,Pseudocalanus elongatus,-2.0,20.55132661320818,Winter,Subtropical
1966-08-12,1966,8,66.46864673684075,-46.40633349744947,Pseudocalanus elongatus,-60.0,5.650611552127032,Summer,Subpolar
1971-01-16,1971,1,48.86458981316852,-0.7172262129123936,Centropages typicus,35.0,12.58174811471653,Winter,Temperate Low
1997-02-07,1997,2,38.47775718658676,-26.851475051170112,Centropages typicus,-7.0,18.414365920559714,Winter,Subtropical
1968-09-15,1968,9,33.03872038982377,-20.337083441262664,Pseudocalanus elongatus,-213.0,11.37286554156838,Summer,Subtropical
1998-12-12,1998,12,51.459475706269124,8.583880352574909,Pseudocalanus elongatus,4.0,8.533386829062268,Fall,Temperate High
2016-06-19,2016,6,39.68514555382431,15.817483685003666,Paracalanus parvus,-3.0,17.09401477194789,Spring,Subtropical
1980-01-29,1980,1,46.37824134639704,-63.68299756470103,Centropages typicus,10.0,12.97125019645475,Winter,Temperate Low
2009-11-12,2009,11,35.32181189553012,-77.63252080450884,Centropages typicus,-2.0,11.490430118354318,Fall,Subtropical
2015-12-13,2015,12,69.67236738503208,-8.757139492408214,Oithona similis,17.0,4.85007817170388,Fall,Subpolar
1978-03-18,1978,3,52.396226186350546,-27.41989170880464,Centropages typicus,17.0,15.322042564837313,Winter,Temperate High
2003-03-06,2003,3,54.92967410711916,0.9653068109142993,Oithona similis,25.0,13.31490762927486,Winter,Temperate High
1977-07-02,1977,7,63.37897925692329,3.716144466744794,Candacia armata,-3.0,8.578017563368274,Summer,Subpolar
2016-05-11,2016,5,39.343509401722756,-70.18685627015176,Pseudocalanus elongatus,-12.0,20.403823398967567,Spring,Subtropical
2002-06-07,2002,6,39.85120657946469,-2.7942290893753636,Candacia armata,0.0,20.87656931957469,Spring,Subtropical
1974-08-22,1974,8,56.630632896133164,-51.24231064393163,Candacia armata,15.0,6.932237932493119,Summer,Temperate High
2000-07-03,2000,7,42.64341092428737,-79.64181521150351,Centropages typicus,17.0,15.324075810767816,Summer,Temperate Low
1991-12-10,1991,12,53.013611685469854,-77.708925920869,Centropages typicus,42.0,7.140280085931719,Fall,Temperate High
2005-05-17,2005,5,35.03107250307772,-36.12744553411535,Centropages typicus,-31.0,21.590338018373707,Spring,Subtropical
1985-11-15,1985,11,68.75582419317823,13.936095851946405,Candacia armata,-3.0,2.0458676174041246,Fall,Subpolar
1960-01-01,1960,1,41.59524540766512,-50.24886275629019,Centropages typicus,7.0,15.379841878097746,Winter,Temperate Low
1998-03-19,1998,3,49.35895367001763,-0.0549465709014072,Candacia armata,11.0,17.971994418461446,Winter,Temperate Low
2013-04-14,2013,4,33.77636384078735,16.15770440834787,Candacia armata,-114.0,21.698942807828587,Spring,Subtropical
1973-12-26,1973,12,35.64989351899905,-46.08415307142204,Oithona similis,-39.0,14.351191704893985,Fall,Subtropical
1970-06-01,1970,6,35.90142497449967,-19.615658949030028,Oithona similis,-51.0,18.421268738809882,Spring,Subtropical
1973-07-18,1973,7,30.545956932859916,5.9962944586573315,Centropages typicus,-91.0,17.476837073410213,Summer,Subtropical
2019-05-17,2019,5,55.89820289405624,-3.6005883296961656,Centropages typicus,7.0,15.368057072577717,Spring,Temperate High
2005-10-02,2005,10,48.44965602060748,-68.80851103129585,Paracalanus parvus,3.0,8.531132889972408,Fall,Temperate Low
1995-03-12,1995,3,37.31582171445918,12.60669179226177,Candacia armata,-6.0,19.826704180179128,Winter,Subtropical
1965-03-21,1965,3,43.609375837057804,-30.28276521720084,Centropages typicus,8.0,20.023980211461545,Winter,Temperate Low
1991-01-23,1991,1,54.451140965291884,-67.3663032865891,Candacia armata,35.0,10.898718430709115,Winter,Temperate High
1982-02-15,1982,2,48.33176841069406,-79.69322012366014,Pseudocalanus elongatus,99.0,14.835462392481299,Winter,Temperate Low
2009-08-04,2009,8,56.04156846598908,-54.75398885757729,Pseudocalanus elongatus,17.0,6.767905260264274,Summer,Temperate High
1978-12-19,1978,12,54.57116883654914,-3.7793044699244405,Centropages typicus,2.0,7.167203676666498,Fall,Temperate High
2010-11-12,2010,11,39.63873698132548,-7.799382308958926,Centropages typicus,-1.0,10.636896250249258,Fall,Subtropical
2013-03-28,2013,3,41.68638586190852,-58.44507287327714,Oithona similis,2.0,17.755858198759377,Winter,Temperate Low
1981-01-25,1981,1,35.46543439312128,-53.00099935732244,Pseudocalanus elongatus,-9.0,16.280682758130197,Winter,Subtropical
1970-08-17,1970,8,48.85183260950094,6.947608945575027,Candacia armata,13.0,8.343094296002917,Summer,Temperate Low
1990-12-29,1990,12,30.094837545161116,-75.1115945487427,Pseudocalanus elongatus,,14.662849422401036,Fall,Subtropical
1988-04-23,1988,4,56.32609172803551,-20.911921341370984,Candacia armata,3.0,17.346373537440936,Spring,Temperate High
1983-09-23,1983,9,54.53412818451623,-36.20068742559873,Acartia clausi,2.0,6.924506116391656,Summer,Temperate High
2002-11-09,2002,11,54.05325657783807,2.3863097535561764,Metridia lucens,,6.076616417455729,Fall,Temperate High
1991-02-02,1991,2,43.85913248162359,-76.45176426719634,Centropages typicus,6.0,17.533866986598838,Winter,Temperate Low
1993-09-07,1993,9,62.568324260775356,-28.971537385353358,Candacia armata,-5.0,2.979091038625904,Summer,Subpolar
2004-02-14,2004,2,58.690968312374295,-25.84056593944147,Candacia armata,11.0,14.312773679865176,Winter,Temperate High
1995-01-23,1995,1,63.69837172013913,-39.958159903427266,Candacia armata,-35.0,8.4761654687701,Winter,Subpolar
2018-02-28,2018,2,42.06115242742151,-40.82727688437326,Centropages typicus,4.0,16.253764741798594,Winter,Temperate Low
1977-09-14,1977,9,56.95981104774039,3.564970441555843,Candacia armata,17.0,6.471291047821711,Summer,Temperate High
1970-09-25,1970,9,44.986902134907055,-17.050861970345892,Pseudocalanus elongatus,8.0,8.257178453392386,Summer,Temperate Low
1974-09-29,1974,9,51.20733822662433,-77.33540218414494,Centropages typicus,4.0,7.515761083159346,Summer,Temperate High
1969-07-26,1969,7,43.996164436564364,-0.4680085876972697,Centropages typicus,25.0,13.79831508812913,Summer,Temperate Low
1995-06-05,1995,6,57.141113424055355,-58.12291524785759,Centropages typicus,102.0,13.859271821167644,Spring,Temperate High
1971-03-31,1971,3,60.625983026534755,-51.794484714170025,Pseudocalanus elongatus,-5.0,12.811960969668137,Winter,Subpolar
2012-12-05,2012,12,34.41402026247594,-6.103531497774966,Pseudocalanus elongatus,-8.0,14.003375679877534,Fall,Subtropical
1962-04-26,1962,4,39.535995005143015,18.436277478338084,Pseudocalanus elongatus,-1.0,20.06477994407877,Spring,Subtropical
1964-02-07,1964,2,54.8889572316709,-17.566502713496654,Calanus finmarchicus,1.0,13.609701537233232,Winter,Temperate High
2017-05-20,2017,5,52.53205225459632,-44.633860079764105,Pseudocalanus elongatus,57.0,14.133799605799794,Spring,Temperate High
2006-08-02,2006,8,30.15484376592773,-18.808318445700387,Centropages typicus,-36.0,14.059606809900025,Summer,Subtropical
2008-09-09,2008,9,66.6295728633186,-73.22729840903652,Pseudocalanus elongatus,-111.0,3.961861640688216,Summer,Subpolar
1976-02-09,1976,2,52.75548507357708,-63.2498284179348,Candacia armata,10.0,12.08741942122341,Winter,Temperate High
2011-01-03,2011,1,48.409095092467865,12.934340977852386,Pseudocalanus elongatus,11.0,13.248225203650339,Winter,Temperate Low
2011-09-21,2011,9,56.03136164547848,-24.753806718022403,Pseudocalanus elongatus,26.0,8.25889545789879,Summer,Temperate High
1985-08-20,1985,8,38.293863417880516,19.61754467177407,Centropages typicus,-5.0,14.360183141325317,Summer,Subtropical
2017-11-14,2017,11,47.44123608271806,-36.925656124412605,Oithona similis,1.0,9.038163784894579,Fall,Temperate Low
1969-06-13,1969,6,35.92786444301997,7.430052617363671,Candacia armata,-40.0,17.34909536146987,Spring,Subtropical
2011-11-07,2011,11,55.97990209479377,-21.466787163449602,Pseudocalanus elongatus,22.0,7.633069190015218,Fall,Temperate High
1963-10-01,1963,10,61.0096875761149,5.579881674455365,Candacia armata,-4.0,5.113492287794921,Fall,Subpolar
2018-12-30,2018,12,62.7043936037444,-67.14030534311063,Oithona similis,2.0,4.924451067149987,Fall,Subpolar
1970-11-03,1970,11,40.67020992292122,-36.15226443897544,Centropages typicus,8.0,10.283962057836941,Fall,Temperate Low
2002-10-19,2002,10,53.372449325473255,-54.45189718657159,Pseudocalanus elongatus,9.0,5.6844724946011675,Fall,Temperate High
2010-05-25,2010,5,33.1236594143554,-42.53881052023779,Pseudocalanus elongatus,-20.0,20.94607681405155,Spring,Subtropical
1995-09-20,1995,9,66.70349409122723,-29.452901447478368,Temora longicornis,-54.0,3.28423632398328,Summer,Subpolar
1962-09-26,1962,9,31.699601266011847,-43.535438569787686,Oithona similis,-19.0,13.502436225461965,Summer,Subtropical
1994-11-12,1994,11,37.19075493048686,0.3778857184045563,Centropages typicus,-23.0,10.411795607586217,Fall,Subtropical
1990-08-06,1990,8,43.474966971091135,-31.3009484443833,Pseudocalanus elongatus,,13.831815351195456,Summer,Temperate Low
1994-01-22,1994,1,43.56369961623165,-13.362616427751803,Metridia lucens,6.0,15.461494961029665,Winter,Temperate Low
2006-02-17,2006,2,46.19332977516902,-14.068595934685717,Oithona similis,16.0,15.76786342286921,Winter,Temperate Low
2008-02-28,2008,2,40.10433557237201,-2.695191616643129,Candacia armata,0.0,15.432116747626164,Winter,Temperate Low
1966-10-10,1966,10,49.89219764471742,-22.84921150748975,Pseudocalanus elongatus,10.0,6.958709499141685,Fall,Temperate Low
1998-05-14,1998,5,53.500344655986765,-25.555700116847518,Centropages typicus,25.0,15.863046676237266,Spring,Temperate High
1971-03-08,1971,3,30.490578690259078,-64.18665807502116,Candacia armata,-25.0,20.971572974571906,Winter,Subtropical
1982-10-11,1982,10,54.17252002614908,-32.30677428588943,Pseudocalanus elongatus,13.0,6.057360696913028,Fall,Temperate High
1988-01-07,1988,1,69.39953203913917,-62.103831720859546,Candacia armata,,5.558991622438363,Winter,Subpolar
2015-06-30,2015,6,55.99778800762454,-41.36692153422035,Centropages typicus,14.0,13.957432880998953,Spring,Temperate High
2000-03-02,2000,3,58.52090317560314,-4.96124000969418,Candacia armata,25.0,11.54837316186677,Winter,Temperate High
1992-04-06,1992,4,40.61388332822759,-62.28016406663525,Pseudocalanus elongatus,1.0,20.7399571589927,Spring,Temperate Low
2012-08-25,2012,8,37.18970403154011,-23.584443357738067,Candacia armata,-14.0,14.38614591801632,Summer,Subtropical
2016-05-02,2016,5,56.67010505109078,-49.75833866598353,Centropages typicus,31.0,15.100565220050537,Spring,Temperate High
1976-01-09,1976,1,53.04787719065992,16.75734219284405,Candacia armata,9.0,10.969757657810431,Winter,Temperate High
1991-06-25,1991,6,42.98774580802443,-21.825801280547104,Temora longicornis,43.0,16.994661526301154,Spring,Temperate Low
1990-08-25,1990,8,31.40694299039721,-60.68690747777944,Pseudocalanus elongatus,-38.0,14.03301127275204,Summer,Subtropical
1988-08-25,1988,8,57.92003543775608,12.145018977732903,Centropages typicus,11.0,8.286560868956508,Summer,Temperate High
